states,visits
0.6803717679845908 1,0
0.8789598910856603 1,0
0.7187655982055758 1,0
0.6426392180900936 1,0
0.7877877444950444 1,0
0.7907690748563435 1,0
0.7430157216451937 1,0
0.6769766416312936 1,0
0.7231900090379692 1,0
0.6516076344440361 1,0
0.7120524490781447 1,0
0.581317443822961 0.25025298381279704,0
0.7906427927192738 0.4804726798807437,0
0.7746017846465203 1,0
0.6515969627329022 1,0
0.8052756505822668 1,0
0.6620145816393214 1,0
0.6655452345974541 1,0
0.7064815344428145 1,0
0.6707657855871973 1,0
0.6757534742412279 1,0
0.8852963324803403 1,0
0.8548058883330426 1,0
0.7343185109912957 1,0
0.6669531282815845 1,0
0.2998986456384355 0.5703277192136125,0
0.8714441414398608 1,1
0.6596866352796683 1,0
0.6993148047501552 1,0
0.7392757923645878 1,0
0.6550334679596863 1,0
0.8220450403825489 1,0
0.6530717446232877 1,0
0.6471793232108642 1,0
0.6937623707307694 1,2
0.7390833920266215 1,0
0.8513539683683351 1,0
0.8476162132978967 1,0
0.6336839663029327 1,0
0.29425057631334894 0.3221724130180998,0
0.48971755486171176 0.2763893547833703,15
0.6933597434073995 1,0
0.8154220610521354 1,0
0.727461769815822 1,0
0.637726788885653 1,0
0.8255498471983881 1,0
0.7490664560890948 1,0
0.7084855881303136 1,0
0.7061074151744653 1,0
0.8340805032041755 1,0
0.7239223364568874 1,0
0.7540944784578767 1,0
0.6935678334004728 1,0
0.7295895480851168 1,0
0.8359668847194218 1,0
0.8287811826103619 1,0
0.8332118753481377 1,0
0.7354681243422858 1,0
0.6623352345532848 1,0
0.7147632922988532 1,0
0.7185810853598517 1,0
0.6725382931470296 1,0
0.8093506754641193 1,0
0.8597313105519959 1,5
0.7923856767815987 1,0
0.6749870210428803 1,0
0.6588805419901343 1,0
0.6550537435496826 1,0
0.7257161890560728 1,0
0.7237904641139866 1,0
0.6663811393406388 1,0
0.6810435511574986 1,0
0.7109933546204862 1,0
0.7500229996447795 1,0
0.702611640061314 1,0
0.81252841004539 1,0
0.8490813480351048 1,0
0.7124029151340046 1,0
0.7650993506073287 1,0
0.7969069558271139 1,0
0.6891176005589398 1,0
0.7518266229363173 1,1
0.7416563294613531 1,0
0.785411487399235 1,0
0.7390849698353399 1,0
0.31904090275512903 0.4664151179711629,34
0.7277504711694831 1,0
0.8295215078821488 1,0
0.6914120608741738 1,0
0.7923253953646019 1,0
0.7615119322863795 1,0
0.7165441342903293 1,0
0.860215280350608 1,38
0.8286355970775791 1,0
0.7103726831198389 1,19
0.7648301048796569 1,9
0.6932668338258183 1,0
0.8907536188228755 1,0
0.7535037806344029 1,0
0.7257984549269347 1,0
0.7131158432594843 1,0
0.6446417605732278 1,0
0.7165531134971218 1,13
0.6765914189890447 1,0
0.8040565030245918 1,0
0.7733392424757984 1,0
0.6929192327153499 1,0
0.5673428849546285 1,0
0.7713647461115766 1,0
0.8613711953975131 1,0
0.7507803913460457 1,0
0.7877546824685253 1,0
0.7475721232554031 1,0
0.6767644549672615 1,0
0.6453482052491244 1,0
0.9137522707581801 0.7317484709729905,0
0.6934284917911167 1,0
0.7398360930395105 1,0
0.7784798016433059 1,0
0.7998631302070175 1,0
0.6680609800237383 1,1
0.6680174521631441 1,4
0.7989617942038029 1,0
0.7550769605826073 1,0
0.7937313875260614 1,0
0.7125986302230709 1,0
0.7467295234022604 1,0
0.8364003237492866 1,0
0.6708111149465236 1,0
0.7268457745782197 1,0
0.9107448164153359 0.6550361416971084,0
0.6617549561704764 1,0
0.721665724396163 1,0
0.7630100943876557 1,0
0.729660146516641 1,0
0.707886439902923 1,0
0.9040276452430662 0.5407056645348053,0
0.7490795701113145 1,0
0.6601111602511303 1,0
0.6821193677050051 1,0
0.7845189242431284 1,0
0.7283331776756838 0.2940963430621389,0
0.8755266444040064 1,0
0.8851993550754494 0.33717526657418906,0
0.7547962218888159 1,0
0.848197930679165 1,0
0.6837591640115267 1,0
0.8324927835261124 1,0
0.8001528530689548 1,0
0.7366236857842315 1,0
0.7857106900486138 1,0
0.7236618422830419 1,0
0.7576417303096566 1,0
0.7189183037949292 1,0
0.6515919691492387 1,0
0.7552495184842979 1,0
0.6570011244829432 1,0
0.6931615318664541 1,0
0.665257242686703 1,0
0.7519254898896951 1,0
0.7894104412581193 1,0
0.7672692446761225 1,0
0.36607390555876773 0.818816676415583,0
0.7591215256573903 1,0
0.6559114200463487 1,0
0.7458375163681167 1,0
0.6817759369703762 1,0
0.7182619373421927 1,0
0.6874380706485719 1,0
0.6696355653688206 1,0
0.33385122841992315 0.5782136843120039,20
0.664121446316371 1,0
0.7243259848805269 1,0
0.3227194934281869 0.48312380465294247,69
0.6479115691611749 1,0
0.6914289569756914 1,0
0.6861518131647837 1,0
0.7729587867084482 1,0
0.6720896476991264 1,0
0.7346161655078726 1,4
0.7817115819859364 1,0
0.7084878367600213 1,0
0.7558748223398215 1,0
0.6373164900466709 1,0
0.7533935845306706 1,0
0.6519182793072392 1,0
0.7448308905119218 1,0
0.6727166032402535 1,0
0.6781865482168223 1,0
0.7154049584115036 1,0
0.7241155753235616 1,0
0.7090217130318966 1,0
0.6987092651188443 1,0
0.781019861106634 1,2
0.7119309801044817 1,0
0.708285155850356 1,0
0.736948073531608 1,56
0.6871701841618407 1,0
0.659202567595522 1,0
0.6658661650447601 1,0
0.7832370932775059 1,0
0.8875560297296569 1,0
0.7355852522757004 1,0
0.7172335392650827 1,0
0.7091825124300162 1,0
0.750334828450403 1,0
0.7300806344017656 1,0
0.7837962473855627 1,0
0.8531745293066745 1,0
0.8384103548843396 1,0
0.7959310965084392 1,0
0.6583779127132806 1,0
0.7691002218638732 1,0
0.7806035812262802 1,0
0.869320649773211 0.6698232534600785,0
0.5657528840450982 0.3142635645609839,0
0.7580245237371751 1,0
0.8282317656574213 1,0
0.9152845815689047 0.8461547025118157,0
0.8360458003560008 1,0
0.699827050330901 1,0
0.7750355576984755 1,0
0.8487581066934471 1,0
0.7465762518719128 1,0
0.6825679789741956 1,0
0.7825704620463839 1,0
0.715938513225572 1,1
0.7238955265730245 1,0
0.6711513064675868 1,0
0.791666325856852 1,0
0.738033956238471 1,1
0.8372375736114316 1,7
0.7627846407923513 1,0
0.7868204925290222 1,0
0.6565295014541043 1,0
0.8137797665204958 1,0
0.6791806259358155 1,1
0.6761084925609906 1,0
0.7525787010778996 1,28
0.8095604726294118 1,0
0.6617496662102174 1,0
0.9110722005959554 0.24855530272076015,0
0.751082017911595 1,0
0.6631871933083177 1,2
0.742931599739878 1,62
0.8066695886998865 1,0
0.7306059718633774 1,0
0.7313956479675173 1,0
0.7434110180865783 1,0
0.7162475183976685 1,0
0.681930677023441 1,0
0.7081318972073263 1,0
0.7120898215733351 1,0
0.7524907463147164 1,0
0.7449428596848855 1,0
0.7821851093022086 1,0
0.6443660097763235 0.2778691737453549,0
0.724439180280688 1,0
0.8397139982983911 1,0
0.7963551999756449 1,0
0.6527768934036292 1,0
0.8394789593168236 1,0
0.9030884785639548 1,0
0.7836705679198488 1,0
0.6632282609897766 1,0
0.6634882577251512 1,0
0.6217358614897404 1,0
0.7717294710473183 1,0
0.8051241953585581 1,0
0.8667698572340531 1,0
0.7457656576883668 1,6
0.5836776055660934 0.9803812853055106,0
0.6683700030685868 1,0
0.7095600395303284 1,0
0.643870598272304 0.3099488485423714,0
0.853805702334107 1,0
0.7399389527701569 1,0
0.3303530401242975 0.9718198736875885,0
0.8244939312417586 1,0
0.8505301107784865 1,0
0.7811042207729619 1,0
0.8002362343358538 1,0
0.7543035335938009 1,0
0.4482735423227374 0.29530839704301537,119
0.7311049019345459 1,18
0.6889846582978691 1,0
0.6805070285156007 1,0
0.32532972313175107 0.31234023856169735,0
0.780091103598192 1,0
0.6653197711311323 1,0
0.763955885572958 1,0
0.7909827946562283 1,0
0.7408060133949362 1,0
0.6961118292519837 1,0
0.6967430228642778 1,0
0.7766273506660311 1,0
0.8606822385009711 1,0
0.7077535456346326 1,0
0.6928900880714949 1,0
0.6755748677426854 1,0
0.7485989077461629 1,0
0.8780351167450495 1,0
0.7669530124445036 1,0
0.6919221379010265 1,0
0.855542009431378 1,0
0.7299248995784875 1,0
0.6501273482847265 1,0
0.6672660063529697 1,0
0.6335400368706825 1,0
0.7670701411677928 1,0
0.6664303448208311 1,0
0.7544225548524776 1,0
0.7246279446512548 1,0
0.7105846115547888 1,0
0.688449959270988 1,0
0.31395326319441386 0.5129050437754281,14
0.7506266611286991 1,0
0.7077497311790263 1,0
0.6589685758495112 1,0
0.69733109173952 1,10
0.6485940942893011 1,0
0.6696124776297803 1,0
0.8468371513410458 1,0
0.6444364347897288 1,0
0.6493979507665475 1,0
0.8620525664185 0.6957974616134269,0
0.6897155267380541 1,0
0.6871850587294404 1,0
0.7003827742876945 1,0
0.783627310704074 1,0
0.7047036994243884 1,0
0.8004872375679125 1,0
0.6781501831096467 1,0
0.6930239857579679 1,0
0.7672740511722802 1,0
0.7344840926515276 1,0
0.3469243654465304 0.28127771669335155,0
0.7005161667521317 1,0
0.7990446334507504 1,0
0.7355204166726083 1,0
0.6936672897713629 1,0
0.6975693692538179 1,26
0.6867336976015984 1,0
0.7934210996143809 1,0
0.6737262543642426 1,0
0.691034222006567 1,0
0.6490974171530952 1,0
0.7579567367717106 1,0
0.7072121786112769 1,0
0.7414411566404816 1,0
0.6239093957977135 1,0
0.7595614947471426 1,0
0.7826920628591998 1,0
0.7743388373553607 1,0
0.6689543851033394 1,0
0.7471290746956454 1,0
0.6795043514603365 1,0
0.8221388165669171 1,0
0.8665991463653737 1,1
0.6662344163635623 1,0
0.8987211202325464 1,0
0.698090567353392 1,0
0.6795798944968638 1,0
0.6517269149293428 1,0
0.6755713021843494 1,0
0.6657785346725978 1,0
0.7424216740204923 1,0
0.6619051936376298 0.2600441184841803,0
0.5991359755317586 0.3118922290806658,0
0.7141073400428782 1,0
0.6943430964800557 1,1
0.6596569658715024 1,0
0.7515152238630143 1,0
0.7500206985151464 1,0
0.6493952305157704 1,0
0.6930005208928786 1,0
0.6727604018420271 1,1
0.7085026512661232 1,0
0.6514215715684524 1,0
0.7246486055669513 1,46
0.865774224627742 1,0
0.6846613718928253 1,0
0.6785416795538792 1,0
0.857045179915308 1,0
0.7630257699092134 1,0
0.7504870192381516 1,0
0.7367841922830751 1,0
0.7138898545705971 1,0
0.6915041886833255 1,0
0.699524099888516 1,0
0.8181083361217504 1,0
0.7078474493634443 1,0
0.7151544848571688 1,0
0.823811379955502 1,0
0.6744848889062506 1,0
0.7530209503995728 1,0
0.6561797146626781 1,0
0.8193042771520666 1,0
0.7274889285973711 1,0
0.6489222266627434 1,0
0.7310318702728249 0.32163924216029816,0
0.6442604834345039 1,0
0.6988611313694763 1,0
0.7389585236480237 1,0
0.6281432328631275 1,0
0.8904626462848009 1,0
0.672713577249886 1,0
0.8431222876205553 1,0
0.7087677734888204 1,0
0.854094250366435 1,0
0.7487256808613805 1,2
0.7340082397653245 1,1
0.8240290583383959 1,0
0.39651900716901356 0.29377311019335184,12
0.7584408557801183 1,0
0.659118502445964 1,0
0.7236371794491422 1,0
0.7792017800119252 1,0
0.7690778793747591 1,0
0.8500729870264684 1,0
0.6911535468592936 1,0
0.8904105691119873 1,0
0.7917381376387419 0.3114230250306655,0
0.6532180634679323 1,0
0.7363556898484265 1,0
0.7361176364157496 1,0
0.6618874670377356 1,0
0.8726245962624241 1,0
0.6434488642065351 1,0
0.7486475776774179 1,0
0.6868990193581527 1,0
0.8403678982936951 1,0
0.6802394141032506 1,0
0.6794063493843023 1,0
0.8148964669520466 1,0
0.7343864484926703 1,0
0.7374609887539881 1,0
0.6595696549599024 1,0
0.7682092782734569 1,0
0.7855895432145988 1,0
0.7838187829131145 1,0
0.7985923217853593 1,0
0.6872788053228945 1,0
0.8353253194932704 1,0
0.7189761779300002 1,0
0.6884602272826233 1,0
0.8268604476916552 1,0
0.6948465204589013 1,0
0.8089319310440215 1,0
0.7215290195936519 1,0
0.8855409950411873 1,0
0.9170839781586319 0.7691038707378562,0
0.8919938764563156 1,1
0.7097941241328887 1,1
0.5348725642979174 0.2790130151189049,1
0.7230967069566332 1,0
0.5425113397438023 0.23177952579085345,0
0.718216714561705 1,0
0.6905412804235385 1,0
0.7303129422499529 1,1
0.6584089273605379 1,0
0.7853972572919309 1,4
0.688471568481583 1,0
0.6651916911041234 1,0
0.7854351277285844 1,0
0.3176920119112903 0.3319403610564725,0
0.7050333824873488 1,0
0.7052071431276498 1,0
0.6813440797289977 1,0
0.7117841924054661 1,0
0.8783021588950461 1,0
0.7957827422072177 1,0
0.7658444989381196 1,0
0.6919654169453483 1,0
0.7286801686205591 1,0
0.671884579296799 1,14
0.8693958261827794 1,0
0.7225362726488611 1,0
0.6738861692768355 1,0
0.7147515307460501 1,0
0.7866977586568602 1,0
0.7497714005688587 1,0
0.8199742472245962 1,0
