states,visits
-0.19669415599814538 -0.19522721497585208 -0.010882271394344384 0.1713760237027519,0
-0.26278560178522614 0.17357668776561755 -0.0034479274967952026 -0.03839197527944743,0
-0.29602650361173344 -0.009067227082571516 0.051860657010580624 -0.006499665392778908,0
-0.3559605613321793 -0.22905670798710842 0.020220016349709533 0.2947500674773751,0
-0.2327275642864705 -0.21781744099428263 -0.013758571031949225 0.2228595702509752,0
-0.2188822190318455 0.5618251152432097 -0.006343114593651018 -0.5998882058502798,125
-0.21549327379212438 0.22206330753753342 -0.01604827607532429 -0.2830440981264448,0
-0.18864260079324047 -0.21089006064435034 -0.021076616070874576 0.16818019125684813,0
-0.21491696527276186 -0.1646390368317115 -0.009915774734334018 0.1532395608390662,0
-0.20957397562599697 -0.2316100981969643 -0.033404639782389604 0.3428270958347792,1
-0.30456218760767717 -0.21029022027526612 0.04024176624800301 0.3845454656897174,1
-0.2055685959780106 -0.031061860297445287 -0.034557697756718284 0.0500068865202109,1
-0.2634617404695958 -0.20018308989934372 0.009300144673141966 0.20170317334457488,0
-0.31534307824093544 -0.3931882969602446 0.0401080785549789 0.45672066261866534,7
-0.24325755856454576 -0.021552925980390575 -0.017576357137539227 -0.08044379387781009,0
-0.19808780389084055 -0.023120193682214074 -0.03112697120565905 -4.974167037624655e-05,0
-0.2669460223807872 -0.019358467412073116 -0.0087910461683222 -0.12581832565178852,0
-0.19033328159231225 -0.17185246874142626 -0.03290428952371226 0.3892498305541911,1
-0.161397349731127 0.1732649325247139 -0.032772811700120356 -0.11236903020321676,0
-0.2767013185979397 -0.4149363913842199 0.019361506368263958 0.45041048289896585,5
-0.3582753446242901 -0.026523147116459117 0.04753143125597527 -0.04794806709909305,0
-0.29313666520548776 0.16208942751419947 0.04815550098161681 -0.0892098899730534,0
-0.2638247872917382 -0.2122204399788981 -0.017974424841761923 0.1230130721777658,2
-0.20828721830414432 -0.1991463628216038 -0.021412079783121683 0.11138354402152428,0
-0.2196888187832645 0.1749127431096994 -0.015921758366856126 -0.015763737141731404,7
-0.25528396497100847 -0.19944122171253745 0.005450183520260391 0.19085596989369752,0
-0.22262172967711774 -0.21645164861850077 -0.019758667850451037 0.16758669906056206,0
-0.2549178804020536 -0.01800165124426467 0.0009625036194038069 -0.08986017972909344,0
-0.4011824825943488 -0.03547224467815449 0.00399784091064966 -0.06606088963882617,364
-0.28231912278640636 -0.21126343499275585 0.010446920670039727 0.2126289621269829,0
-0.2951388825919012 -0.031119826609190437 0.04352106247415329 0.16079243586479564,0
-0.29424041838825776 -0.01882804931309695 0.03402663920685743 -0.07836793623749916,0
-0.3052492893864137 0.1830676896715058 0.0549107654693755 -0.3591992574327003,1
-0.23678378402124728 -0.16715860403700952 -0.012988950863676518 0.08379988954625728,0
-0.2612122862599741 -0.1989803580179025 0.0038739137969438482 0.18591559945416852,0
-0.30267611862010274 -0.012548156477545924 0.04383578832597679 0.07436806820757624,0
-0.17701989458818113 -0.20435328639600578 -0.0381985689718878 0.23184501690372178,0
-0.2592408900808309 -0.016235917123146926 0.0015014607238917586 -0.09701911254956158,0
-0.18559457340388302 0.16446261089438355 -0.035555311536814724 -0.09341459859993984,1
-0.24296184795055653 -0.20736495625216242 0.0005106882687800143 0.08579622292588407,0
-0.31000001166102076 0.1802658865424804 0.037102846310357034 -0.1393835262686589,0
-0.2389502061941219 -0.15876510298839705 -0.016682193348891785 0.10782618761489848,0
-0.25137570871446013 -0.02127175345101126 -0.001570122864419531 -0.08899658493589768,0
-0.2091640482048819 -0.19705067831839432 -0.018623027480339147 0.15504358653112854,0
-0.19707029572345308 -0.2002115708681147 -0.010606056310718802 0.15798842833756388,0
-0.3442938842975106 -0.026827602005057904 0.049969949765504354 -0.016210221446333162,0
