episode lengths
2
8
6
6
7
11
2
3
5
9
9
3
4
7
3
4
12
4
1
3
2
9
5
11
4
4
5
8
9
11
10
10
1
1
4
3
2
10
11
3
1
2
11
4
10
9
2
3
6
12
3
4
1
1
9
7
2
8
10
4
1
11
1
1
8
6
5
3
11
8
2
2
4
4
5
2
11
4
6
5
1
4
7
9
7
12
11
2
3
6
12
2
10
11
10
2
11
5
10
4
7
11
6
4
7
9
1
7
7
3
6
4
11
10
2
11
9
7
3
5
4
1
1
1
6
11
7
6
1
10
6
11
11
11
11
3
7
5
1
10
6
1
11
3
1
6
12
1
5
5
10
3
6
10
4
11
12
11
1
9
10
10
8
8
1
2
