episode lengths
5
4
10
4
9
12
11
5
4
2
4
1
11
3
11
1
11
3
3
9
11
2
3
5
8
6
3
2
12
2
7
6
2
5
3
4
11
10
1
12
6
7
4
5
1
6
4
9
2
9
12
11
3
4
11
3
2
3
3
4
11
7
6
12
1
3
3
4
9
12
3
1
4
1
6
1
1
11
8
4
10
7
6
8
11
4
1
9
11
3
3
4
2
6
4
4
10
2
5
10
3
7
4
3
1
12
6
2
1
11
8
11
1
7
11
1
3
11
5
9
11
8
3
5
3
9
11
6
3
12
2
9
3
6
4
9
3
9
7
2
2
3
5
1
5
5
1
4
11
6
3
8
10
6
5
7
6
8
4
1
12
4
5
1
8
9
5
7
2
11
9
10
