episode lengths
5
4
9
9
3
4
2
10
11
4
1
7
12
3
11
2
4
1
11
5
11
3
5
5
5
7
4
4
10
2
10
9
4
9
11
4
3
11
6
10
9
5
9
4
11
1
10
2
7
1
9
2
2
2
5
4
4
1
10
11
4
8
11
6
8
4
4
5
4
4
5
2
11
2
8
9
3
11
5
1
12
3
6
8
2
11
5
4
2
2
2
11
6
7
3
1
7
3
7
6
2
11
5
2
2
12
4
6
6
12
9
5
10
3
6
12
8
8
4
9
2
2
11
3
3
5
1
6
11
9
8
2
7
3
4
3
3
2
4
7
12
3
6
4
3
12
1
1
12
10
1
11
4
2
1
1
4
2
11
1
3
3
1
11
10
11
4
11
10
9
7
4
