episode lengths
6
6
9
7
4
6
9
9
11
2
6
2
10
2
11
1
2
2
11
9
4
3
6
11
3
6
11
8
8
7
1
3
4
12
4
10
10
6
5
9
9
7
6
3
3
12
2
7
12
2
3
4
3
10
12
4
12
8
12
8
4
10
12
9
11
2
11
2
11
4
10
4
3
3
7
4
4
11
7
3
2
2
8
9
11
7
2
8
11
3
12
5
4
8
3
5
8
11
9
2
3
11
3
11
9
12
10
11
8
2
10
2
1
8
4
3
10
2
9
3
3
4
3
1
7
7
2
4
9
9
3
8
2
10
12
1
2
2
3
4
9
4
1
7
11
4
6
3
8
12
6
8
4
4
9
12
4
4
